institute,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
NIAMS,467,18.2,48,44,51,51,47,51,58,60,57
NIGMS,420,16.4,50,47,49,59,60,52,41,35,27
NHLBI,412,16.1,39,37,43,42,50,57,51,44,49
NINDS,193,7.5,27,19,15,17,16,20,23,25,31
NICHD,184,7.2,16,16,18,20,20,22,24,22,26
NIDDK,170,6.6,27,21,15,15,13,15,21,21,22
NEI,160,6.2,22,23,24,22,20,15,12,13,9
NIDCR,137,5.4,16,10,13,16,19,18,18,15,12
NIA,109,4.3,7,6,9,13,12,12,16,18,16
NIBIB,96,3.8,10,10,13,17,11,11,9,7,8
NIDCD,64,2.5,5,5,3,11,10,9,10,10,1
NCI,46,1.8,6,4,2,4,4,5,7,7,7
OD,37,1.4,1,2,4,4,8,7,5,5,1
NIAID,22,0.9,1,2,2,2,1,2,2,5,5
NHGRI,20,0.8,2,3,2,2,3,2,2,2,2
NIEHS,10,0.4,3,2,2,1,1,1,0,0,0
NIMH,8,0.3,2,1,0,1,1,1,1,1,0
NIDA,4,0.2,2,1,1,0,0,0,0,0,0
NLM,1,0.0,0,0,0,0,0,0,0,0,1
