study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
Musculoskeletal Tissue Engineering Study Section[MTE],215,8.4,21,20,26,25,25,23,28,25,22
Development - 2 Study Section[DEV2],198,7.7,21,17,20,24,23,28,24,21,20
Biomaterials and Biointerfaces Study Section[BMBI],133,5.2,15,14,15,16,15,14,12,15,17
Development - 1 Study Section[DEV1],115,4.5,8,10,11,17,20,14,13,12,10
"Arthritis, Connective Tissue and Skin Study Section[ACTS]",80,3.1,14,12,12,9,5,9,6,5,8
Skeletal Biology Development and Disease Study Section[SBDD],58,2.3,10,6,5,4,6,5,6,8,8
Myocardial Ischemia and Metabolism Study Section[MIM],52,2.0,8,5,5,7,7,9,6,3,2
Cardiovascular Differentiation and Development Study Section[CDD],52,2.0,5,8,8,6,7,7,5,4,2
Biology of the Visual System Study Section[BVS],52,2.0,10,7,7,4,7,6,5,5,1
(not assigned),51,2.0,3,4,3,10,7,8,4,4,8
Skeletal Biology Structure and Regeneration Study Section[SBSR],43,1.7,3,1,1,3,5,6,8,9,7
Intercellular Interactions Study Section[ICI],42,1.6,6,6,6,6,4,2,3,5,4
"Genomics, Computational Biology and Technology Study Section[GCAT]",41,1.6,4,6,5,5,6,5,4,3,3
"Bioengineering, Technology and Surgical Sciences Study Section[BTSS]",40,1.6,3,3,4,3,4,5,6,5,7
"Lung Injury, Repair, and Remodeling Study Section[LIRR]",40,1.6,1,2,3,3,4,7,7,6,7
Skeletal Muscle and Exercise Physiology Study Section[SMEP],39,1.5,4,4,6,6,4,3,4,3,5
"Cellular, Molecular and Integrative Reproduction Study Section[CMIR]",38,1.5,4,8,8,5,6,3,2,1,1
Cellular and Molecular Technologies Study Section[CMT],37,1.4,0,0,0,3,4,6,7,8,9
Molecular and Cellular Hematology Study Section[MCH],34,1.3,5,4,4,2,3,4,4,4,4
Nanotechnology Study Section[NANO],29,1.1,3,2,3,5,4,2,4,3,3
Cellular Mechanisms in Aging and Development Study Section[CMAD],26,1.0,6,4,2,2,1,2,3,3,3
Gene and Drug Delivery Systems Study Section[GDD],26,1.0,3,4,3,2,2,2,3,4,3
Modeling and Analysis of Biological Systems Study Section[MABS],26,1.0,2,2,3,4,3,4,3,3,2
Special Emphasis Panel[ZRG1-CB-J(55)R],23,0.9,1,4,6,5,4,3,0,0,0
Enabling Bioanalytical and Imaging Technologies Study Section[EBIT],21,0.8,2,5,5,3,3,2,1,0,0
Molecular Genetics A Study Section[MGA],19,0.7,1,1,1,2,2,4,3,3,2
