institute,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
NCI,1454,29.1,0,0,0,0,0,0,35,707,712
NHLBI,899,18.0,0,0,0,0,0,0,114,401,384
NIDDK,846,16.9,0,0,0,0,0,0,91,375,380
NIAID,471,9.4,0,0,0,0,0,0,63,208,200
NINDS,276,5.5,0,0,0,0,0,0,23,128,125
NEI,194,3.9,0,0,0,0,0,0,30,90,74
NIAMS,183,3.7,0,0,0,0,0,0,13,86,84
NICHD,131,2.6,0,0,0,0,0,0,11,57,63
NIA,122,2.4,0,0,0,0,0,0,9,58,55
NIDCR,117,2.3,0,0,0,0,0,0,5,57,55
NIGMS,98,2.0,0,0,0,0,0,0,4,51,43
NIBIB,44,0.9,0,0,0,0,0,0,2,21,21
NIAAA,40,0.8,0,0,0,0,0,0,0,14,26
NIEHS,34,0.7,0,0,0,0,0,0,0,16,18
NIDCD,18,0.4,0,0,0,0,0,0,0,11,7
NIMHD,15,0.3,0,0,0,0,0,0,3,6,6
NIMH,14,0.3,0,0,0,0,0,0,0,7,7
NINR,13,0.3,0,0,0,0,0,0,2,6,5
NIDA,11,0.2,0,0,0,0,0,0,1,5,5
OD,7,0.1,0,0,0,0,0,0,3,3,1
NCCIH,4,0.1,0,0,0,0,0,0,0,2,2
NCATS,3,0.1,0,0,0,0,0,0,1,1,1
NHGRI,3,0.1,0,0,0,0,0,0,0,2,1
NLM,3,0.1,0,0,0,0,0,0,1,1,1
