study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
"Transplantation, Tolerance, and Tumor Immunology Study Section[TTT]",201,4.0,0,0,0,0,0,0,51,77,73
Hepatobiliary Pathophysiology Study Section[HBPP],134,2.7,0,0,0,0,0,0,9,63,62
Molecular and Cellular Hematology Study Section[MCH],134,2.7,0,0,0,0,0,0,29,63,42
Developmental Therapeutics Study Section[DT],103,2.1,0,0,0,0,0,0,0,53,50
Mechanisms of Cancer Therapeutics - 1 Study Section[MCT1],94,1.9,0,0,0,0,0,0,0,46,48
Musculoskeletal Tissue Engineering Study Section[MTE],89,1.8,0,0,0,0,0,0,8,41,40
Drug Discovery and Molecular Pharmacology Study Section[DMP],83,1.7,0,0,0,0,0,0,0,41,42
Tumor Progression and Metastasis Study Section[TPM],79,1.6,0,0,0,0,0,0,0,42,37
"Bioengineering, Technology and Surgical Sciences Study Section[BTSS]",78,1.6,0,0,0,0,0,0,12,32,34
Biomaterials and Biointerfaces Study Section[BMBI],72,1.4,0,0,0,0,0,0,9,35,28
Molecular Oncogenesis Study Section[MONC],67,1.3,0,0,0,0,0,0,2,34,31
Cancer Immunopathology and Immunotherapy Study Section[CII],63,1.3,0,0,0,0,0,0,12,28,23
Cancer Molecular Pathobiology Study Section[CAMP],63,1.3,0,0,0,0,0,0,0,30,33
"Surgery, Anesthesiology and Trauma Study Section[SAT]",62,1.2,0,0,0,0,0,0,13,23,26
Pathobiology of Kidney Disease Study Section[PBKD],61,1.2,0,0,0,0,0,0,5,25,31
Mechanisms of Cancer Therapeutics - 2 Study Section[MCT2],60,1.2,0,0,0,0,0,0,1,29,30
Clinical Oncology Study Section[CONC],58,1.2,0,0,0,0,0,0,6,28,24
Tumor Cell Biology Study Section[TCB],57,1.1,0,0,0,0,0,0,2,32,23
Therapeutic Approaches to Genetic Diseases Study Section[TAG],53,1.1,0,0,0,0,0,0,8,23,22
(not assigned),50,1.0,0,0,0,0,0,0,7,21,22
"Basic Biology of Blood, Heart and Vasculature Study Section [BBHV]",49,1.0,0,0,0,0,0,0,1,18,30
Tumor Microenvironment Study Section[TME],44,0.9,0,0,0,0,0,0,0,24,20
Skeletal Biology Development and Disease Study Section[SBDD],44,0.9,0,0,0,0,0,0,2,22,20
Radiation Therapeutics and Biology Study Section[RTB],43,0.9,0,0,0,0,0,0,0,21,22
"Kidney, Nutrition, Obesity and Diabetes Study Section[KNOD]",40,0.8,0,0,0,0,0,0,6,17,17
Gene and Drug Delivery Systems Study Section[GDD],40,0.8,0,0,0,0,0,0,2,19,19
Cancer Prevention Study Section[CPSS],40,0.8,0,0,0,0,0,0,0,17,23
"Lung Injury, Repair, and Remodeling Study Section[LIRR]",39,0.8,0,0,0,0,0,0,2,19,18
Cellular Aspects of Diabetes and Obesity Study Section[CADO],38,0.8,0,0,0,0,0,0,2,21,15
Special Emphasis Panel[ZRG1-BDCN-J(81)S],37,0.7,0,0,0,0,0,0,8,18,11
Cancer Genetics Study Section[CG],36,0.7,0,0,0,0,0,0,0,20,16
"Hemostasis, Thrombosis, Blood Cells and Transfusion Study Section[HTBT]",33,0.7,0,0,0,0,0,0,0,12,21
Cancer Biomarkers Study Section[CBSS],32,0.6,0,0,0,0,0,0,2,15,15
"Lung Cellular, Molecular, and Immunobiology Study Section[LCMI]",32,0.6,0,0,0,0,0,0,6,13,13
Clinical Neuroplasticity and Neurotransmitters Study Section[CNNT],31,0.6,0,0,0,0,0,0,4,12,15
Integrative and Clinical Endocrinology and Reproduction Study Section[ICER],31,0.6,0,0,0,0,0,0,3,14,14
Skeletal Muscle and Exercise Physiology Study Section[SMEP],29,0.6,0,0,0,0,0,0,2,13,14
Modeling and Analysis of Biological Systems Study Section[MABS],28,0.6,0,0,0,0,0,0,3,15,10
Respiratory Integrative Biology and Translational Research Study Section[RIBT],28,0.6,0,0,0,0,0,0,1,14,13
Cellular and Molecular Technologies Study Section[CMT],28,0.6,0,0,0,0,0,0,1,13,14
Cellular and Molecular Immunology - B Study Section[CMIB],28,0.6,0,0,0,0,0,0,0,13,15
Skeletal Biology Structure and Regeneration Study Section[SBSR],28,0.6,0,0,0,0,0,0,0,15,13
"Cardiac Contractility, Hypertrophy, and Failure Study Section[CCHF]",27,0.5,0,0,0,0,0,0,4,15,8
Nanotechnology Study Section[NANO],27,0.5,0,0,0,0,0,0,0,15,12
Imaging Probes and Contrast Agents Study Section[IPCA],26,0.5,0,0,0,0,0,0,0,13,13
Clinical Translational Imaging Science Study Section[CTIS],26,0.5,0,0,0,0,0,0,1,11,14
Neurogenesis and Cell Fate Study Section[NCF],26,0.5,0,0,0,0,0,0,4,12,10
"Hypersensitivity, Autoimmune, and Immune-mediated Diseases Study Section[HAI]",26,0.5,0,0,0,0,0,0,1,14,11
Biology of the Visual System Study Section[BVS],26,0.5,0,0,0,0,0,0,5,14,7
Special Emphasis Panel[ZRG1-OTC-M(08)F],25,0.5,0,0,0,0,0,0,1,11,13
Basic Mechanisms of Diabetes and Metabolism Study Section[BMDM],24,0.5,0,0,0,0,0,0,0,11,13
"Cancer, Heart, and Sleep Epidemiology A Study Section[CHSA]",24,0.5,0,0,0,0,0,0,5,10,9
"Bioengineering of Neuroscience, Vision and Low Vision Technologies Study Section[BNVT]",24,0.5,0,0,0,0,0,0,4,10,10
Atherosclerosis and Inflammation of the Cardiovascular System Study Section[AICS],24,0.5,0,0,0,0,0,0,2,16,6
"Oral, Dental and Craniofacial Sciences Study Section[ODCS]",24,0.5,0,0,0,0,0,0,0,10,14
Imaging Guided Interventions and Surgery Study Section[IGIS],23,0.5,0,0,0,0,0,0,2,11,10
Gastrointestinal Mucosal Pathobiology Study Section[GMPB],23,0.5,0,0,0,0,0,0,3,10,10
"Arthritis, Connective Tissue and Skin Study Section[ACTS]",23,0.5,0,0,0,0,0,0,0,11,12
Cancer Etiology Study Section[CE],23,0.5,0,0,0,0,0,0,0,10,13
Clinical Research and Field Studies of Infectious Diseases Study Section[CRFS],22,0.4,0,0,0,0,0,0,5,10,7
Xenobiotic and Nutrient Disposition and Action Study Section[XNDA],21,0.4,0,0,0,0,0,0,1,9,11
Clinical and Integrative Cardiovascular Sciences Study Section[CICS],20,0.4,0,0,0,0,0,0,2,11,7
Special Emphasis Panel[ZRG1-MCT2-C(01)S],20,0.4,0,0,0,0,0,0,0,10,10
Clinical Neuroimmunology and Brain Tumors Study Section[CNBT],20,0.4,0,0,0,0,0,0,0,11,9
Basic Mechanisms  of Cancer Therapeutics Study Section[BMCT],20,0.4,0,0,0,0,0,0,0,14,6
"Cellular, Molecular and Integrative Reproduction Study Section[CMIR]",19,0.4,0,0,0,0,0,0,2,7,10
Myocardial Ischemia and Metabolism Study Section[MIM],19,0.4,0,0,0,0,0,0,5,10,4
Health Services Organization and Delivery Study Section[HSOD],18,0.4,0,0,0,0,0,0,4,10,4
Special Emphasis Panel[ZRG1-VH-C(02)M],18,0.4,0,0,0,0,0,0,2,9,7
Special Emphasis Panel[ZRG1-ETTN-P(81)S],18,0.4,0,0,0,0,0,0,0,7,11
Innate Immunity and Inflammation Study Section[III],18,0.4,0,0,0,0,0,0,1,9,8
Instrumentation and Systems Development Study Section[ISD],18,0.4,0,0,0,0,0,0,0,8,10
Kidney Molecular Biology and Genitourinary Organ Development[KMBD],17,0.3,0,0,0,0,0,0,1,9,7
Cardiovascular Differentiation and Development Study Section[CDD],17,0.3,0,0,0,0,0,0,1,8,8
Brain Injury and Neurovascular Pathologies Study Section[BINP],16,0.3,0,0,0,0,0,0,4,6,6
Aging Systems and Geriatrics Study Section[ASG],16,0.3,0,0,0,0,0,0,2,7,7
"Cancer, Heart, and Sleep Epidemiology B Study Section[CHSB]",16,0.3,0,0,0,0,0,0,2,8,6
Virology - A Study Section[VIRA],16,0.3,0,0,0,0,0,0,0,9,7
Emerging Imaging Technologies and Applications Study Section[EITA],15,0.3,0,0,0,0,0,0,0,6,9
Kidney and Urological Systems Function and Dysfunction Study Section[KUFD],15,0.3,0,0,0,0,0,0,0,4,11
HIV Comorbidities and Clinical Studies Study Section[HCCS],15,0.3,0,0,0,0,0,0,1,6,8
"Digestive System Host Defense, Microbial Interactions and Immune and Inflammatory Disease Study Section[DHMI]",14,0.3,0,0,0,0,0,0,0,4,10
Pathophysiology of Eye Disease - 2 Study Section[PED2],14,0.3,0,0,0,0,0,0,1,5,8
Atherosclerosis and Vascular Inflammation Study Section[AVI],14,0.3,0,0,0,0,0,0,0,6,8
Integrative Nutrition and Metabolic Processes Study Section[INMP],14,0.3,0,0,0,0,0,0,0,8,6
HIV Coinfections and HIV Associated Cancers Study Section[HCAC],14,0.3,0,0,0,0,0,0,0,7,7
Cellular Signaling and Regulatory Systems Study Section[CSRS],14,0.3,0,0,0,0,0,0,0,7,7
ZHD1-DSR-Y(53),14,0.3,0,0,0,0,0,0,0,7,7
Clinical and Integrative Diabetes and Obesity Study Section[CIDO],13,0.3,0,0,0,0,0,0,1,6,6
Pathophysiology of Eye Disease - 1 Study Section[PED1],13,0.3,0,0,0,0,0,0,0,5,8
Cellular and Molecular Immunology - A Study Section[CMIA],13,0.3,0,0,0,0,0,0,0,7,6
Integrative Physiology of Obesity and Diabetes Study Section[IPOD],13,0.3,0,0,0,0,0,0,1,8,4
Development - 1 Study Section[DEV1],13,0.3,0,0,0,0,0,0,2,7,4
Cellular and Molecular Biology of Glia Study Section[CMBG],13,0.3,0,0,0,0,0,0,0,7,6
Special Emphasis Panel[ZRG1-VH-D(02)M],12,0.2,0,0,0,0,0,0,1,6,5
Intercellular Interactions Study Section[ICI],12,0.2,0,0,0,0,0,0,1,6,5
Integrative Myocardial Physiology/Pathophysiology A Study Section [MPPA],12,0.2,0,0,0,0,0,0,0,5,7
Biostatistical Methods and Research Design Study Section[BMRD],12,0.2,0,0,0,0,0,0,2,6,4
Systemic Injury by Environmental Exposure[SIEE],12,0.2,0,0,0,0,0,0,0,5,7
Cell Signaling and Molecular Endocrinology Study Section[CSME],11,0.2,0,0,0,0,0,0,0,5,6
Pregnancy and Neonatology Study Section[PN],11,0.2,0,0,0,0,0,0,0,6,5
Biology and Development of the Eye Study Section[BDE],11,0.2,0,0,0,0,0,0,0,5,6
Development - 2 Study Section[DEV2],11,0.2,0,0,0,0,0,0,0,5,6
"Infectious Diseases, Reproductive Health, Asthma and Pulmonary Conditions Study Section[IRAP]",11,0.2,0,0,0,0,0,0,1,6,4
Vascular Cell and Molecular Biology Study Section[VCMB],10,0.2,0,0,0,0,0,0,1,6,3
Special Emphasis Panel[ZRG1-OTC-N(55)R],10,0.2,0,0,0,0,0,0,0,5,5
Genetics of Health and Disease Study Section[GHD],10,0.2,0,0,0,0,0,0,2,3,5
Nutrition and Metabolism in Health and Disease Study Section[NMHD],10,0.2,0,0,0,0,0,0,0,4,6
Vaccines Against Microbial Diseases Study Section[VMD],10,0.2,0,0,0,0,0,0,0,6,4
Drug Discovery and Mechanisms of Antimicrobial Resistance Study Section[DDR],10,0.2,0,0,0,0,0,0,1,5,4
Immunity and Host Defense Study Section[IHD],10,0.2,0,0,0,0,0,0,0,5,5
Cellular Mechanisms in Aging and Development Study Section[CMAD],10,0.2,0,0,0,0,0,0,0,5,5
Molecular and Cellular Endocrinology Study Section[MCE],10,0.2,0,0,0,0,0,0,2,5,3
Special Emphasis Panel[ZRG1-BMCT-C(01)S],10,0.2,0,0,0,0,0,0,0,10,0
Special Emphasis Panel[ZAA1 DD (03)],9,0.2,0,0,0,0,0,0,0,1,8
ZAG1-ZIJ-5(M1),9,0.2,0,0,0,0,0,0,2,4,3
Neurotoxicology and Alcohol Study Section[NAL],9,0.2,0,0,0,0,0,0,0,5,4
Special Emphasis Panel[ZRG1-IMST-H(55)R],9,0.2,0,0,0,0,0,0,0,4,5
